,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,368,380,390,410,326,350,366,372,418,302,334,342,404,388,302,362,366,408,392,306,332,382,308,360,Lum
B,400,568,462,344,342,480,512,498,582,352,400,462,518,332,352,472,384,408,332,442,476,440,408,432,Lum
C,94904,98464,55840,56754,64382,60566,60898,54434,41094,33626,48104,79626,74726,47158,54914,50456,58508,43384,60240,49744,46290,52816,87910,77982,Lum
D,99260,104994,64568,58336,66000,67236,57710,59148,46956,35706,52640,82872,78258,50816,56386,48562,57106,46464,61974,48634,40460,54460,85618,92004,Lum
E,95584,114248,70436,66742,58342,60918,61402,57408,37998,35374,53448,85976,74804,50362,56972,59850,46144,29146,60658,55612,48586,56592,82140,87896,Lum
F,109286,112572,61688,62220,71254,62622,62346,59920,44832,37034,59532,82654,69608,47482,61056,56568,64208,48630,51270,58174,35672,55270,91842,77956,Lum
G,101850,115770,69984,63664,69360,59184,49022,50350,40810,34384,57320,89814,69418,51598,59518,57918,58722,27694,54966,35604,40334,50672,79550,80062,Lum
H,94650,117642,66694,66988,69946,61724,53462,57368,38470,31404,54930,83144,68694,52612,68094,59086,58066,48610,59172,49818,37898,51628,82874,78650,Lum
I,92402,92522,61460,69124,63814,59140,58428,61012,40750,5140,52258,80212,61376,55260,55184,48048,51642,42940,54062,45862,36664,49518,86390,75442,Lum
J,95498,86806,67180,70564,64250,64170,58412,58496,42954,5326,47446,77026,62790,51476,58570,48716,54276,47476,54948,50312,33896,48978,81888,71170,Lum
K,100270,84666,64318,67160,61542,62402,56658,63216,48958,8014,49190,79092,69818,47692,60104,54486,51634,47160,49736,42432,34688,48444,83038,79460,Lum
L,108050,91626,59776,70020,55596,54524,58322,57130,56802,45338,50796,89862,69260,52104,58124,50684,54770,44926,54536,52220,31114,48082,74886,76836,Lum
M,106098,105618,63846,74834,63584,67072,59354,60712,56104,47202,58688,85282,68276,61258,66758,55622,52382,44864,56980,55942,37724,48396,77152,84416,Lum
N,112582,98474,65536,65632,65424,70892,64148,69546,61906,49174,54146,83796,66922,55254,73098,54290,59732,52104,53068,55732,34844,54562,75034,78092,Lum
O,526,460,376,446,402,440,474,456,766,450,332,372,598,418,316,396,314,278,444,362,554,312,388,470,Lum
P,424,350,386,312,416,320,414,332,360,324,418,342,310,388,362,320,314,506,322,472,344,344,310,336,Lum